,Unnamed: 0,Filename,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Predicted_Quality
0,0,video10451.mp4__frame110.png,0.001,0.024,0.8640000000000001,0.16899999999999998,0.006,3.347
1,1,video10451.mp4__frame132.png,0.07200000000000001,0.893,0.0,0.0,0.0,1.858
2,2,video10451.mp4__frame154.png,0.0,0.0,0.893,0.054000000000000006,0.018000000000000002,2.9850000000000003
3,3,video10451.mp4__frame176.png,0.588,0.6809999999999999,0.0,0.003,0.0,1.962
4,4,video10451.mp4__frame22.png,0.196,0.863,0.006999999999999999,0.0,0.0,1.943
5,5,video10451.mp4__frame44.png,0.0,0.7979999999999999,0.377,0.02,0.0,2.8070000000000004
6,6,video10451.mp4__frame66.png,0.004,0.777,0.41600000000000004,0.022000000000000002,0.003,2.9090000000000003
7,7,video10451.mp4__frame88.png,0.003,0.9059999999999999,0.001,0.003,0.0,1.83
8,8,video10452.mp4__frame110.png,0.0,0.0,0.8540000000000001,0.22899999999999998,0.004,3.498
9,9,video10452.mp4__frame132.png,0.001,0.0,0.903,0.018000000000000002,0.0,2.782
10,10,video10452.mp4__frame154.png,0.885,0.10300000000000001,0.01,0.0,0.0,1.121
11,11,video10452.mp4__frame176.png,0.9059999999999999,0.005,0.0,0.0,0.0,0.9159999999999999
12,12,video10452.mp4__frame22.png,0.373,0.705,0.23199999999999998,0.004,0.0,2.495
13,13,video10452.mp4__frame44.png,0.305,0.15,0.7709999999999999,0.022000000000000002,0.0,3.006
14,14,video10452.mp4__frame66.png,0.19699999999999998,0.298,0.14300000000000002,0.66,0.065,4.187
15,15,video10452.mp4__frame88.png,0.025,0.253,0.652,0.41700000000000004,0.002,4.165
16,16,video10453.mp4__frame110.png,0.0,0.001,0.139,0.868,0.042,4.101
17,17,video10453.mp4__frame132.png,0.0,0.0,0.17600000000000002,0.868,0.006,4.03
18,18,video10453.mp4__frame154.png,0.0,0.0,0.905,0.01,0.0,2.755
19,19,video10453.mp4__frame176.png,0.003,0.005,0.836,0.285,0.0,3.661
20,20,video10453.mp4__frame22.png,0.0,0.0,0.8109999999999999,0.36200000000000004,0.0,3.881
21,21,video10453.mp4__frame44.png,0.012,0.061,0.893,0.002,0.0,2.821
22,22,video10453.mp4__frame66.png,0.01,0.217,0.7879999999999999,0.165,0.046,3.698
23,23,video10453.mp4__frame88.png,0.002,0.011000000000000001,0.8140000000000001,0.337,0.008,3.8539999999999996
24,24,video10454.mp4__frame110.png,0.031,0.7959999999999999,0.33899999999999997,0.034,0.004,2.7960000000000003
25,25,video10454.mp4__frame132.png,0.013999999999999999,0.902,0.008,0.001,0.002,1.8559999999999999
26,26,video10454.mp4__frame154.png,0.001,0.899,0.009000000000000001,0.028999999999999998,0.003,1.957
27,27,video10454.mp4__frame176.png,0.8809999999999999,0.126,0.001,0.0,0.0,1.136
28,28,video10454.mp4__frame22.png,0.023,0.503,0.7290000000000001,0.006,0.0,3.24
29,29,video10454.mp4__frame44.png,0.0,0.0,0.655,0.62,0.001,4.45
30,30,video10454.mp4__frame66.png,0.0,0.20600000000000002,0.857,0.019,0.0,3.059
31,31,video10454.mp4__frame88.png,0.001,0.625,0.3,0.401,0.04,3.955
32,32,video10455.mp4__frame110.png,0.001,0.073,0.782,0.366,0.0,3.957
33,33,video10455.mp4__frame132.png,0.022000000000000002,0.20199999999999999,0.29,0.754,0.0,4.3119999999999985
34,34,video10455.mp4__frame154.png,0.069,0.879,0.068,0.001,0.0,2.035
35,35,video10455.mp4__frame176.png,0.0,0.001,0.39899999999999997,0.795,0.003,4.394
36,36,video10455.mp4__frame22.png,0.0,0.573,0.071,0.6559999999999999,0.001,3.988
37,37,video10455.mp4__frame44.png,0.0,0.27899999999999997,0.836,0.01,0.004,3.1260000000000003
38,38,video10455.mp4__frame66.png,0.0,0.013999999999999999,0.8079999999999999,0.354,0.003,3.883000000000001
39,39,video10455.mp4__frame88.png,0.0,0.004,0.905,0.005,0.0,2.7430000000000003
40,40,video10456.mp4__frame110.png,0.0,0.028999999999999998,0.882,0.095,0.0,3.084
41,41,video10456.mp4__frame132.png,0.01,0.884,0.085,0.017,0.001,2.106
42,42,video10456.mp4__frame154.png,0.0,0.006,0.899,0.032,0.004,2.8569999999999998
43,43,video10456.mp4__frame176.png,0.0,0.047,0.887,0.052000000000000005,0.004,2.983
44,44,video10456.mp4__frame22.png,0.004,0.079,0.867,0.105,0.0,3.1830000000000003
45,45,video10456.mp4__frame44.png,0.0,0.002,0.905,0.009000000000000001,0.0,2.755
46,46,video10456.mp4__frame66.png,0.0,0.02,0.903,0.002,0.0,2.7569999999999997
47,47,video10456.mp4__frame88.png,0.0,0.001,0.9059999999999999,0.002,0.001,2.733
48,48,video10474.mp4__frame110.png,0.006,0.469,0.759,0.0,0.001,3.2260000000000004
49,49,video10474.mp4__frame132.png,0.7240000000000001,0.46799999999999997,0.084,0.001,0.0,1.916
50,50,video10474.mp4__frame154.png,0.001,0.35,0.8109999999999999,0.012,0.0,3.1820000000000004
51,51,video10474.mp4__frame176.png,0.017,0.055,0.89,0.016,0.0,2.861
52,52,video10474.mp4__frame22.png,0.895,0.055,0.009000000000000001,0.0,0.0,1.032
53,53,video10474.mp4__frame44.png,0.598,0.5720000000000001,0.14800000000000002,0.002,0.019,2.289
54,54,video10474.mp4__frame66.png,0.019,0.19,0.861,0.0,0.001,2.987
55,55,video10474.mp4__frame88.png,0.0,0.009000000000000001,0.75,0.433,0.063,4.315
56,56,video10475.mp4__frame110.png,0.027999999999999997,0.062,0.889,0.0,0.0,2.819
57,57,video10475.mp4__frame132.png,0.06,0.106,0.87,0.005,0.004,2.922
58,58,video10475.mp4__frame154.png,0.008,0.045,0.897,0.0,0.0,2.789
59,59,video10475.mp4__frame176.png,0.897,0.044000000000000004,0.006999999999999999,0.0,0.0,1.006
60,60,video10475.mp4__frame22.png,0.6809999999999999,0.095,0.525,0.0,0.0,2.4459999999999997
61,61,video10475.mp4__frame44.png,0.5,0.652,0.025,0.001,0.155,2.658
62,62,video10475.mp4__frame66.png,0.903,0.023,0.0,0.0,0.0,0.949
63,63,video10475.mp4__frame88.png,0.132,0.114,0.851,0.0,0.0,2.9130000000000003
64,64,video10476.mp4__frame110.png,0.027999999999999997,0.152,0.865,0.012,0.003,2.99
65,65,video10476.mp4__frame132.png,0.07400000000000001,0.10300000000000001,0.6579999999999999,0.49200000000000005,0.004,4.241999999999999
66,66,video10476.mp4__frame154.png,0.6659999999999999,0.59,0.027999999999999997,0.0,0.0,1.93
67,67,video10476.mp4__frame176.png,0.6940000000000001,0.557,0.023,0.003,0.0,1.889
68,68,video10476.mp4__frame22.png,0.9059999999999999,0.003,0.0,0.0,0.0,0.912
69,69,video10476.mp4__frame44.png,0.8959999999999999,0.057,0.0,0.0,0.0,1.01
70,70,video10476.mp4__frame66.png,0.863,0.201,0.001,0.001,0.0,1.272
71,71,video10476.mp4__frame88.png,0.847,0.244,0.004,0.013000000000000001,0.0,1.399
72,72,video10477.mp4__frame110.png,0.027000000000000003,0.271,0.833,0.006999999999999999,0.0,3.096
73,73,video10477.mp4__frame132.png,0.883,0.113,0.006,0.0,0.0,1.127
74,74,video10477.mp4__frame154.png,0.893,0.07200000000000001,0.001,0.001,0.0,1.0439999999999998
75,75,video10477.mp4__frame176.png,0.89,0.085,0.0,0.0,0.0,1.06
76,76,video10477.mp4__frame22.png,0.042,0.892,0.03,0.009000000000000001,0.0,1.952
77,77,video10477.mp4__frame44.png,0.8079999999999999,0.368,0.003,0.0,0.0,1.5530000000000002
78,78,video10477.mp4__frame66.png,0.753,0.289,0.22699999999999998,0.0,0.0,2.012
79,79,video10477.mp4__frame88.png,0.8959999999999999,0.054000000000000006,0.004,0.0,0.0,1.016
80,80,video10478.mp4__frame110.png,0.894,0.057999999999999996,0.011000000000000001,0.0,0.0,1.043
81,81,video10478.mp4__frame132.png,0.8059999999999999,0.371,0.004,0.0,0.0,1.56
82,82,video10478.mp4__frame154.png,0.772,0.415,0.043,0.0,0.0,1.731
83,83,video10478.mp4__frame176.png,0.042,0.899,0.001,0.0,0.0,1.8430000000000002
84,84,video10478.mp4__frame22.png,0.9059999999999999,0.002,0.001,0.0,0.0,0.9129999999999999
85,85,video10478.mp4__frame44.png,0.047,0.128,0.762,0.319,0.002,3.875
86,86,video10478.mp4__frame66.png,0.25,0.349,0.6940000000000001,0.033,0.001,3.167
87,87,video10478.mp4__frame88.png,0.0,0.028999999999999998,0.894,0.036000000000000004,0.0,2.884
88,88,video10479.mp4__frame110.png,0.0,0.002,0.9009999999999999,0.032,0.0,2.8350000000000004
89,89,video10479.mp4__frame132.png,0.0,0.009000000000000001,0.905,0.0,0.0,2.733
90,90,video10479.mp4__frame154.png,0.9,0.036000000000000004,0.003,0.0,0.0,0.981
91,91,video10479.mp4__frame176.png,0.9059999999999999,0.003,0.002,0.0,0.0,0.9179999999999999
92,92,video10479.mp4__frame22.png,0.631,0.27399999999999997,0.449,0.001,0.0,2.53
93,93,video10479.mp4__frame44.png,0.867,0.17300000000000001,0.013000000000000001,0.0,0.0,1.252
94,94,video10479.mp4__frame66.png,0.133,0.273,0.794,0.013999999999999999,0.0,3.117
95,95,video10479.mp4__frame88.png,0.0,0.001,0.027999999999999997,0.9,0.006,3.716
96,96,video10592[1].mp4__frame110.png,0.0,0.001,0.06,0.895,0.002,3.772
97,97,video10592[1].mp4__frame132.png,0.845,0.252,0.012,0.0,0.0,1.385
98,98,video10592[1].mp4__frame154.png,0.037000000000000005,0.021,0.86,0.146,0.008,3.2830000000000004
99,99,video10592[1].mp4__frame176.png,0.002,0.036000000000000004,0.7809999999999999,0.31,0.10300000000000001,4.172
100,100,video10592[1].mp4__frame22.png,0.303,0.784,0.113,0.001,0.027999999999999997,2.354
